"Displacement:0","Displacement:1","Displacement:2","F33","J","Pressure","Nominal Stress:0","Nominal Stress:1","Nominal Stress:2","Nominal Stress:3","Nominal Stress:4","Nominal Stress:5","Nominal Stress:6","Nominal Stress:7","Nominal Stress:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.034872,0.10077,0,0.99999,1,-2.8164e-05,-1.5066e-05,3.6342e-05,0,3.6346e-05,-5.313e-06,0,0,0,0,1,0.19,-2.31,0,0
0.034872,0.10077,0,0.99999,1,-2.6246e-05,-1.5066e-05,3.6342e-05,0,3.6346e-05,-5.313e-06,0,0,0,0,1,0.1925,-2.3075,0,0
0.034872,0.10077,0,0.99999,1,-2.4328e-05,-1.5066e-05,3.6342e-05,0,3.6346e-05,-5.313e-06,0,0,0,0,1,0.195,-2.305,0,0
0.034872,0.10077,0,0.99999,1,-2.2411e-05,-1.5066e-05,3.6342e-05,0,3.6346e-05,-5.313e-06,0,0,0,0,1,0.1975,-2.3025,0,0
0.034872,0.10077,0,0.99999,1,-2.0493e-05,-0.00015828,9.1015e-05,0,9.1042e-05,-1.5383e-05,0,0,0,0,1,0.2,-2.3,0,0
0.034872,0.10077,0,0.99999,1,-1.7717e-05,-9.4664e-05,4.9269e-05,0,4.9281e-05,-5.3008e-06,0,0,0,0,1,0.2025,-2.2975,0,0
0.034872,0.10077,0,0.99999,1,-1.4941e-05,-9.4664e-05,4.9269e-05,0,4.9281e-05,-5.3008e-06,0,0,0,0,1,0.205,-2.295,0,0
0.034872,0.10077,0,0.99999,1,-1.2165e-05,-9.4664e-05,4.9269e-05,0,4.9281e-05,-5.3008e-06,0,0,0,0,1,0.2075,-2.2925,0,0
0.034872,0.10077,0,1,1,-9.389e-06,-9.4664e-05,4.9269e-05,0,4.9281e-05,-5.3008e-06,0,0,0,0,1,0.21,-2.29,0,0
0.034872,0.10077,0,1,1,-6.6129e-06,-9.4664e-05,4.9269e-05,0,4.9281e-05,-5.3008e-06,0,0,0,0,1,0.2125,-2.2875,0,0
0.034872,0.10077,0,1,1,-3.8371e-06,-9.4664e-05,4.9269e-05,0,4.9281e-05,-5.3008e-06,0,0,0,0,1,0.215,-2.285,0,0
0.034872,0.10077,0,1,1,-1.0611e-06,-9.4664e-05,4.9269e-05,0,4.9281e-05,-5.3008e-06,0,0,0,0,1,0.2175,-2.2825,0,0
0.034872,0.10077,0,1,1,1.715e-06,-9.4664e-05,4.9269e-05,0,4.9281e-05,-5.3008e-06,0,0,0,0,1,0.22,-2.28,0,0
0.034872,0.10077,0,1,1,4.4911e-06,-9.4664e-05,4.9269e-05,0,4.9281e-05,-5.3008e-06,0,0,0,0,1,0.2225,-2.2775,0,0
0.034872,0.10077,0,1,1,7.2669e-06,-0.00025792,0.00011604,0,0.00011606,-1.5288e-05,0,0,0,0,1,0.225,-2.275,0,0
0.034872,0.10077,0,1,1,1.0893e-05,-0.00019798,6.2139e-05,0,6.2148e-05,-5.2388e-06,0,0,0,0,1,0.2275,-2.2725,0,0
0.034872,0.10077,0,1,1,1.4519e-05,-0.00019798,6.2139e-05,0,6.2148e-05,-5.2388e-06,0,0,0,0,1,0.23,-2.27,0,0
0.034872,0.10077,0,1,1,1.8145e-05,-0.00019798,6.2139e-05,0,6.2148e-05,-5.2388e-06,0,0,0,0,1,0.2325,-2.2675,0,0
0.034872,0.10077,0,1,1,2.177e-05,-0.00019798,6.2139e-05,0,6.2148e-05,-5.2388e-06,0,0,0,0,1,0.235,-2.265,0,0
0.034872,0.10077,0,1,1,2.5396e-05,-0.00019798,6.2139e-05,0,6.2148e-05,-5.2388e-06,0,0,0,0,1,0.2375,-2.2625,0,0
0.034872,0.10077,0,1,1,2.9022e-05,-0.00019798,6.2139e-05,0,6.2148e-05,-5.2388e-06,0,0,0,0,1,0.24,-2.26,0,0
0.034872,0.10077,0,1,1,3.2648e-05,-0.00019798,6.2139e-05,0,6.2148e-05,-5.2388e-06,0,0,0,0,1,0.2425,-2.2575,0,0
0.034872,0.10077,0,1,1,3.6273e-05,-0.00019798,6.2139e-05,0,6.2148e-05,-5.2388e-06,0,0,0,0,1,0.245,-2.255,0,0
